account_id,account_name,customer_key,industry,vertical,billing_street,billing_city,billing_state,billing_postal_code,account_type,annual_revenue,employees,created_date
ACC000026,Robinson Wood Ltd,26,Real Estate,SMB,98 High Street,Edinburgh,Scotland,EH50 5JR,Partner,41089442,25,2024-01-09
ACC000027,King Morris Group,27,Central Government,Public Sector,76 Church Road,Bristol,Avon,BS8 1VU,Customer,839653,5,2021-11-14
ACC000028,Brown Brown International,28,Construction,Enterprise,129 Technology Park,Oxford,Oxfordshire,OX68 9FB,Partner,37113944,10,2024-09-05
ACC000029,Walker Taylor International,29,Financial Services,SMB,173 Enterprise Road,Birmingham,West Midlands,B31 4ND,Customer,363057151,250,2021-12-25
ACC000030,Davies Turner and Co,30,Healthcare,SMB,145 Market Street,Milton Keynes,Buckinghamshire,MK41 6JG,Partner,28129602,25,2021-06-30
ACC000031,Hughes Wood Group,31,Manufacturing,SMB,118 Victoria Road,Newcastle,Tyne and Wear,NE97 8CA,Customer,3918418,10,2020-02-18
ACC000032,Taylor Lee Solutions,32,Financial Services,Enterprise,68 Mill Lane,Brighton,East Sussex,BN45 6CH,Partner,182784731,250,2020-08-24
ACC000033,Roberts Cooper UK,33,Professional Services,Enterprise,157 Commerce Way,Newcastle,Tyne and Wear,NE84 9TA,Partner,2040214,50,2023-03-26
ACC000034,Wilson Thomas Partners,34,Construction,SMB,28 Innovation Drive,Leeds,West Yorkshire,LS71 5EJ,Customer,339554012,1000,2023-09-20
ACC000035,Harris Robinson and Co,35,Technology,SMB,130 Kings Road,Sheffield,South Yorkshire,S33 7BC,Partner,73337118,500,2022-05-11
ACC000036,Williams Smith Associates,36,Professional Services,SMB,164 Park Lane,Glasgow,Scotland,G21 7RU,Customer,117840968,2500,2024-05-28
ACC000037,Evans Taylor LLP,37,Legal Services,SMB,140 High Street,Glasgow,Scotland,G48 3VU,Customer,4861145,100,2023-09-21
ACC000038,Thomas Williams Partners,38,Central Government,Public Sector,11 Technology Park,Cardiff,Wales,CF46 4GY,Customer,8071465,100,2024-10-06
ACC000039,Clarke King Services,39,Financial Services,Enterprise,192 Mill Lane,Coventry,West Midlands,CV31 7FF,Partner,7652952,100,2021-03-24
ACC000040,Walker Harris Services,40,Legal Services,Enterprise,69 Mill Lane,Liverpool,Merseyside,L90 1DN,Partner,9477210,100,2021-10-11
ACC000041,Thompson Wright Holdings,41,Real Estate,SMB,79 Enterprise Road,Cardiff,Wales,CF30 4HA,Partner,43292734,50,2024-04-17
ACC000042,Harris IT Solutions Ltd,42,MSP,Partner,90 Business Park,Sheffield,South Yorkshire,S66 9NY,Partner,21955345,250,2020-06-14
ACC000043,Jones Evans Partners,43,Transport & Logistics,SMB,149 Park Lane,Edinburgh,Scotland,EH5 7DW,Prospect,121608546,500,2021-02-27
ACC000044,Lewis Martin International,44,Transport & Logistics,Enterprise,30 Queens Road,Brighton,East Sussex,BN74 1GJ,Partner,28620042,250,2024-03-10
ACC000045,Smith Clark UK,45,Central Government,Public Sector,94 Queens Road,Bristol,Avon,BS9 6YL,Prospect,100229086,5000,2024-01-23
ACC000046,Academy of Newcastle,46,Education,Public Sector,80 Business Park,Brighton,East Sussex,BN53 5LN,Prospect,2376659,50,2021-01-07
ACC000047,University of Reading,47,Education,Enterprise,174 Innovation Drive,Belfast,Northern Ireland,BT23 5WV,Customer,453239386,250,2022-08-21
ACC000048,King Communications Partners,48,MSP,Partner,54 Queens Road,Newcastle,Tyne and Wear,NE75 6WX,Customer,441919,100,2020-11-08
ACC000049,Cooper Cooper and Co,49,Charity,SMB,131 Kings Road,Bristol,Avon,BS95 2FY,Partner,173006756,500,2024-05-11
ACC000050,Moore Harris PLC,50,Professional Services,Enterprise,173 Park Lane,Liverpool,Merseyside,L29 1GE,Partner,5600037,250,2023-11-15
ACC000051,White Ward International,51,Healthcare,SMB,117 Queens Road,Birmingham,West Midlands,B81 7VG,Partner,44893945,50,2020-05-21
ACC000052,Wood White Group,52,Real Estate,Enterprise,193 Enterprise Road,London,Greater London,EC99 4DP,Prospect,3055087,100,2023-08-25
ACC000053,Clark Hill Ltd,53,Hospitality,SMB,64 Technology Park,Southampton,Hampshire,SO16 8RE,Prospect,4191349,50,2023-03-13
ACC000054,King Morgan Associates,54,Recruitment,SMB,157 Enterprise Road,Cambridge,Cambridgeshire,CB93 9TP,Customer,187718024,1000,2024-12-07
ACC000055,City Hospital NHS Trust,55,NHS Trust,Public Sector,116 Park Lane,Oxford,Oxfordshire,OX97 5HX,Partner,412036549,500,2023-11-15
ACC000056,Morris White Partners,56,Recruitment,SMB,20 Innovation Drive,Cambridge,Cambridgeshire,CB37 6HJ,Customer,361460822,5000,2022-01-25
ACC000057,Lee Davies Group,57,Construction,Enterprise,60 Queens Road,Glasgow,Scotland,G89 4EZ,Customer,128769169,250,2024-01-17
ACC000058,Turner Turner Associates,58,Healthcare,Public Sector,120 Queens Road,Southampton,Hampshire,SO8 7GP,Partner,413133505,5000,2023-05-07
ACC000059,Baker Jackson Holdings,59,Legal Services,Enterprise,91 Park Lane,London,Greater London,EC97 9NP,Customer,152269775,250,2020-04-21
ACC000060,Morgan Thompson Holdings,60,Media & Entertainment,Enterprise,70 Queens Road,Liverpool,Merseyside,L63 6AN,Prospect,187915107,500,2020-04-15
ACC000061,Roberts Networks Ltd,61,MSP,Partner,137 High Street,Coventry,West Midlands,CV51 1VV,Partner,5197514,5,2021-05-23
ACC000062,Martin Thomas Holdings,62,Financial Services,SMB,13 Park Lane,Edinburgh,Scotland,EH49 8LG,Customer,466798463,5000,2022-05-28
ACC000063,Harris Jackson Partners,63,Construction,Enterprise,65 Enterprise Road,Reading,Berkshire,RG11 9SA,Customer,89319384,500,2020-12-21
ACC000064,Clarke Thompson and Co,64,Healthcare,Enterprise,200 Business Park,Birmingham,West Midlands,B6 4AH,Customer,382413569,2500,2020-05-25
ACC000065,Johnson White Group,65,Legal Services,Enterprise,172 Station Road,Oxford,Oxfordshire,OX73 5GR,Customer,492699683,1000,2024-08-19
ACC000066,Roberts Tech Group,66,Telecommunications,Partner,200 Enterprise Road,Leeds,West Yorkshire,LS21 1KD,Customer,197833330,5000,2021-07-11
ACC000067,Baker Jackson Services,67,Construction,SMB,20 The Green,Bristol,Avon,BS89 2XH,Customer,1632210,10,2023-10-12
ACC000068,Morgan Evans International,68,Construction,SMB,89 Market Street,Manchester,Greater Manchester,M55 2YM,Partner,44222061,100,2021-07-23
ACC000069,Harris Smith Services,69,Insurance,Enterprise,28 Queens Road,Oxford,Oxfordshire,OX47 3XR,Customer,2798193,25,2022-04-23
ACC000070,Walker Clark and Co,70,Central Government,Public Sector,158 Commerce Way,Sheffield,South Yorkshire,S69 7SR,Customer,41117467,5000,2024-11-06
ACC000071,Lewis White PLC,71,Professional Services,SMB,116 Church Road,Sheffield,South Yorkshire,S97 7RV,Prospect,7516216,5,2021-02-20
ACC000072,Jones Morris Associates,72,Transport & Logistics,SMB,125 Church Road,Edinburgh,Scotland,EH46 5JL,Customer,9341545,5,2023-02-05
ACC000073,King Smith UK,73,Professional Services,SMB,22 Church Road,Bristol,Avon,BS93 9PS,Customer,228064677,2500,2022-08-25
ACC000074,Ward Morris Holdings,74,Manufacturing,SMB,24 Park Lane,London,Greater London,EC29 4NZ,Prospect,101234564,2500,2024-08-07
ACC000075,Harrison Patel Holdings,75,Construction,SMB,136 Victoria Road,Southampton,Hampshire,SO55 6UL,Customer,5677416,100,2024-04-11
ACC000076,Edwards Hall Partners,76,Charity,SMB,31 Innovation Drive,Liverpool,Merseyside,L25 9LD,Prospect,383616334,2500,2022-03-01
ACC000077,Wright Robinson LLP,77,Hospitality,SMB,71 Innovation Drive,Oxford,Oxfordshire,OX76 5TW,Customer,287367836,2500,2020-02-01
ACC000078,Wright Green Solutions,78,Financial Services,Enterprise,46 Park Lane,Cardiff,Wales,CF2 3ZU,Prospect,184439199,500,2024-10-10
ACC000079,Williams Brown UK,79,Professional Services,SMB,179 Mill Lane,Newcastle,Tyne and Wear,NE82 1SD,Customer,4921419,10,2024-03-09
ACC000080,Ward Ward Holdings,80,Professional Services,Enterprise,48 High Street,Nottingham,Nottinghamshire,NG33 2SD,Customer,6114016,25,2022-06-01
ACC000081,Morris Communications Group,81,MSP,Partner,39 Mill Lane,Manchester,Greater Manchester,M73 4KC,Prospect,176352234,1000,2022-10-16
ACC000082,Academy of Reading,82,Education,Public Sector,153 Commerce Way,Coventry,West Midlands,CV80 7HT,Customer,1339197,50,2021-12-08
ACC000083,St Marys Hospital NHS Trust,83,NHS Trust,Public Sector,151 Queens Road,Newcastle,Tyne and Wear,NE40 1VW,Customer,6498231,100,2022-01-05
ACC000084,Robinson Robinson Partners,84,Financial Services,Enterprise,41 Church Road,Birmingham,West Midlands,B23 3UC,Customer,3960745,100,2024-06-30
ACC000085,Turner Cooper LLP,85,Legal Services,SMB,121 Park Lane,Coventry,West Midlands,CV5 5HK,Customer,170857076,2500,2020-03-09
ACC000086,Taylor Thompson Partners,86,Charity,SMB,170 Commerce Way,Milton Keynes,Buckinghamshire,MK26 9PD,Customer,9006224,100,2021-07-12
ACC000087,Johnson Edwards Group,87,Technology,Enterprise,16 Mill Lane,Birmingham,West Midlands,B40 5WV,Partner,45887316,100,2024-09-28
ACC000088,Royal Hospital NHS Trust,88,NHS Trust,Public Sector,177 Park Lane,Cambridge,Cambridgeshire,CB90 9NJ,Partner,39729163,100,2024-08-11
ACC000089,Morris Cooper PLC,89,Media & Entertainment,Enterprise,11 Technology Park,Coventry,West Midlands,CV56 5LW,Prospect,5169909,50,2020-08-26
ACC000090,Davies Thompson and Co,90,Legal Services,Enterprise,151 High Street,Milton Keynes,Buckinghamshire,MK98 1YJ,Prospect,109592645,5000,2023-04-17
ACC000091,Ward Clark and Co,91,Hospitality,SMB,72 Mill Lane,Cambridge,Cambridgeshire,CB75 8PX,Customer,68322886,5000,2022-06-29
ACC000092,Ward Clarke Services,92,Financial Services,SMB,83 Business Park,Nottingham,Nottinghamshire,NG14 7FL,Customer,132062265,500,2023-09-19
ACC000093,Green Wood UK,93,Real Estate,Enterprise,117 Station Road,Manchester,Greater Manchester,M41 2JL,Customer,450505056,5000,2021-02-28
ACC000094,Moore Communications Group,94,MSP,Partner,119 Queens Road,Southampton,Hampshire,SO7 6GT,Customer,3027575,5,2023-09-15
ACC000095,Cooper Brown Solutions,95,Real Estate,Enterprise,141 Mill Lane,Sheffield,South Yorkshire,S37 8RZ,Prospect,8926250,5,2024-03-07
ACC000096,University of Coventry,96,Education,Public Sector,182 Mill Lane,Liverpool,Merseyside,L40 9UA,Partner,5160517,50,2023-08-10
ACC000097,Birmingham Borough Council,97,Local Government,Public Sector,119 Station Road,Leeds,West Yorkshire,LS83 5ES,Customer,2588628,5,2020-09-15
ACC000098,Edwards Turner Holdings,98,Insurance,Enterprise,63 Kings Road,Oxford,Oxfordshire,OX71 4EN,Partner,7317547,5,2024-06-12
ACC000099,Thomas Taylor Partners,99,Insurance,Enterprise,88 Technology Park,Reading,Berkshire,RG65 5JA,Customer,131735184,5000,2022-05-01
ACC000100,Harrison Harrison and Co,100,Construction,SMB,39 Kings Road,Oxford,Oxfordshire,OX69 6SM,Customer,34487966,500,2020-07-09
ACC000101,Jackson Hill Associates,101,Media & Entertainment,Enterprise,179 Church Road,Bristol,Avon,BS74 7NH,Customer,225551207,1000,2024-11-24
ACC000102,Lewis Ward LLP,102,Healthcare,SMB,99 Business Park,Belfast,Northern Ireland,BT84 1ES,Customer,88070129,10000,2022-09-14
ACC000103,Academy of Milton Keynes,103,Education,Enterprise,26 Enterprise Road,Nottingham,Nottinghamshire,NG57 8DT,Partner,174704822,500,2023-06-01
ACC000104,Johnson Turner and Co,104,Legal Services,SMB,20 Kings Road,Glasgow,Scotland,G34 7LW,Customer,309041322,10000,2022-03-31
ACC000105,Harris Lee Services,105,Financial Services,SMB,161 Innovation Drive,Nottingham,Nottinghamshire,NG98 1SU,Customer,2740889,25,2021-09-30
ACC000106,White Green Solutions,106,Healthcare,Public Sector,112 Station Road,Birmingham,West Midlands,B98 2XZ,Customer,83042050,5000,2023-09-17
ACC000107,City Hospital NHS Trust,107,NHS Trust,Public Sector,8 High Street,Newcastle,Tyne and Wear,NE42 6BK,Customer,369115457,10000,2023-04-29
ACC000108,Martin Telecom Ltd,108,Telecommunications,Partner,106 The Green,Brighton,East Sussex,BN88 3FF,Customer,415255757,1000,2021-08-15
ACC000109,Jackson White Holdings,109,Financial Services,SMB,37 Church Road,Milton Keynes,Buckinghamshire,MK60 8XJ,Customer,1309226,50,2024-10-30
ACC000110,Smith Hill Partners,110,Manufacturing,Enterprise,41 Station Road,Southampton,Hampshire,SO57 5MV,Prospect,87716147,500,2022-04-09
ACC000111,Hughes Hill Partners,111,Central Government,Public Sector,99 Enterprise Road,Bristol,Avon,BS62 7DH,Prospect,9979620,50,2022-12-09
ACC000112,Baker Green LLP,112,Transport & Logistics,Enterprise,6 Enterprise Road,Newcastle,Tyne and Wear,NE85 1NJ,Partner,8655575,10,2024-05-08
ACC000113,Morgan Morris Partners,113,Healthcare,Enterprise,156 Commerce Way,Liverpool,Merseyside,L46 4HX,Customer,413137477,10000,2020-06-03
ACC000114,Thomas Wilson and Co,114,Manufacturing,Enterprise,80 Commerce Way,Manchester,Greater Manchester,M57 6BV,Customer,7477995,5,2022-08-18
ACC000115,University of Newcastle,115,Education,Enterprise,192 Queens Road,Nottingham,Nottinghamshire,NG23 9GE,Customer,1054456,25,2024-08-30
ACC000116,Clark Tech Partners,116,Telecommunications,Partner,66 Technology Park,Edinburgh,Scotland,EH62 2KL,Partner,354952571,500,2021-10-20
ACC000117,Taylor Johnson Solutions,117,Charity,SMB,143 Victoria Road,Belfast,Northern Ireland,BT12 5NA,Customer,26014270,500,2023-12-20
ACC000118,Evans Hill Associates,118,Media & Entertainment,Enterprise,150 Queens Road,Sheffield,South Yorkshire,S82 4MD,Partner,978547,25,2020-05-14
ACC000119,Jones King Associates,119,Real Estate,SMB,57 Business Park,Coventry,West Midlands,CV9 5XR,Customer,5969018,25,2023-09-05
ACC000120,Leeds Borough Council,120,Local Government,Public Sector,10 Park Lane,Manchester,Greater Manchester,M64 4DD,Customer,189883001,500,2023-08-16
ACC000121,Thomas Jackson Holdings,121,Media & Entertainment,Enterprise,172 Innovation Drive,Cardiff,Wales,CF90 3UP,Customer,78854839,500,2020-06-07
ACC000122,Leeds County Council,122,Local Government,Public Sector,105 Park Lane,Coventry,West Midlands,CV5 4ZM,Partner,207249940,500,2020-11-28
ACC000123,St Marys Hospital NHS Trust,123,NHS Trust,Public Sector,93 Station Road,Liverpool,Merseyside,L88 6MU,Prospect,4880297,50,2021-04-24
ACC000124,Wood Edwards Solutions,124,Healthcare,Enterprise,117 Station Road,Leeds,West Yorkshire,LS85 1GX,Partner,229766817,500,2024-07-30
ACC000125,Harris White Group,125,Healthcare,Enterprise,53 Station Road,Milton Keynes,Buckinghamshire,MK98 4UG,Partner,461966294,250,2021-08-06
ACC000126,Harris Johnson International,126,Technology,Enterprise,71 Enterprise Road,London,Greater London,EC19 5EU,Customer,7060815,5,2022-03-22
ACC000127,Evans Jones Group,127,Hospitality,SMB,92 Commerce Way,London,Greater London,EC31 1VL,Customer,2550300,10,2020-03-19
ACC000128,Hughes Brown Group,128,Hospitality,SMB,135 Station Road,Reading,Berkshire,RG96 8CS,Customer,120778757,500,2023-01-28
ACC000129,Moore Tech Ltd,129,Telecommunications,Partner,129 Church Road,Cambridge,Cambridgeshire,CB79 9BY,Customer,122696060,5000,2020-05-08
ACC000130,Hill Jones Ltd,130,Construction,SMB,103 Queens Road,Oxford,Oxfordshire,OX88 8DS,Customer,235445876,250,2023-06-13
ACC000131,Davies Lewis International,131,Healthcare,Public Sector,17 Mill Lane,Glasgow,Scotland,G36 9WX,Partner,277369483,5000,2023-02-08
ACC000132,Jackson Morgan UK,132,Construction,Enterprise,117 Market Street,Newcastle,Tyne and Wear,NE78 2PD,Customer,4145421,5,2024-04-29
ACC000133,Martin Cooper Solutions,133,Technology,SMB,87 Enterprise Road,Reading,Berkshire,RG59 2NP,Prospect,3158117,10,2020-05-09
ACC000134,Martin Lewis and Co,134,Construction,Enterprise,96 Mill Lane,Sheffield,South Yorkshire,S88 2SC,Prospect,155768692,5000,2021-06-02
ACC000135,Davies Martin PLC,135,Financial Services,SMB,34 Market Street,Cardiff,Wales,CF8 9VU,Customer,239586485,2500,2024-03-02
ACC000136,Evans Turner Associates,136,Transport & Logistics,SMB,185 High Street,Reading,Berkshire,RG37 6WK,Prospect,1424175,50,2023-05-18
ACC000137,Baker Moore Solutions,137,Financial Services,Enterprise,169 Kings Road,Glasgow,Scotland,G29 9DM,Partner,48661542,100,2020-12-07
ACC000138,Evans IT Solutions Group,138,Telecommunications,Partner,110 Enterprise Road,Liverpool,Merseyside,L72 9WW,Customer,30143709,5000,2022-01-14
ACC000139,Morgan Edwards Ltd,139,Legal Services,Enterprise,70 Innovation Drive,Edinburgh,Scotland,EH98 6KL,Customer,6175878,50,2023-03-07
ACC000140,Walker Johnson International,140,Legal Services,SMB,18 Mill Lane,Belfast,Northern Ireland,BT95 2XA,Partner,202004753,2500,2021-10-05
ACC000141,Robinson Jackson Services,141,Recruitment,SMB,88 Mill Lane,Cambridge,Cambridgeshire,CB48 2KL,Customer,4466937,50,2021-03-15
ACC000142,Johnson Roberts International,142,Healthcare,Enterprise,173 Station Road,Manchester,Greater Manchester,M35 7RY,Customer,440140968,10000,2024-09-27
ACC000143,Morgan Cooper Services,143,Real Estate,Enterprise,56 Commerce Way,Sheffield,South Yorkshire,S66 7DM,Customer,6164832,100,2021-04-04
ACC000144,College of Milton Keynes,144,Education,Public Sector,135 Business Park,Oxford,Oxfordshire,OX40 7BH,Customer,333537272,250,2020-05-14
ACC000145,Smith Robinson Partners,145,Healthcare,Enterprise,197 Mill Lane,Bristol,Avon,BS98 6JK,Customer,246578217,2500,2023-10-24
ACC000146,University of Oxford,146,Education,Public Sector,45 Mill Lane,Reading,Berkshire,RG49 4UZ,Partner,2667173,25,2020-12-03
ACC000147,King Clarke PLC,147,Insurance,Enterprise,190 High Street,Belfast,Northern Ireland,BT56 2AR,Partner,4704524,10,2023-07-04
ACC000148,Baker Martin International,148,Construction,Enterprise,182 Business Park,Belfast,Northern Ireland,BT54 7KD,Customer,48606188,250,2023-08-06
ACC000149,Lewis Roberts International,149,Legal Services,Enterprise,177 Technology Park,Cambridge,Cambridgeshire,CB47 2CP,Partner,19939535,50,2022-09-16
ACC000150,Martin Harrison Services,150,Manufacturing,SMB,21 Queens Road,Brighton,East Sussex,BN40 6LH,Prospect,139990173,5000,2021-02-21
ACC000151,Taylor Moore and Co,151,Retail,Enterprise,136 Market Street,Leeds,West Yorkshire,LS25 3MM,Partner,1881470,25,2021-05-10
ACC000152,Wilson Johnson Partners,152,Manufacturing,SMB,45 The Green,Bristol,Avon,BS20 3XC,Customer,2779315,25,2023-03-29
ACC000153,Hill Baker International,153,Real Estate,Enterprise,175 Technology Park,Cambridge,Cambridgeshire,CB73 6XX,Prospect,16221341,500,2022-03-16
ACC000154,Johnson Cooper PLC,154,Construction,Enterprise,114 Business Park,Oxford,Oxfordshire,OX39 1JV,Prospect,4894062,100,2020-01-17
ACC000155,Moore Taylor Partners,155,Transport & Logistics,Enterprise,116 High Street,Cambridge,Cambridgeshire,CB8 2MK,Partner,109504769,1000,2023-02-07
ACC000156,Morgan Moore Services,156,Financial Services,SMB,149 Market Street,Cambridge,Cambridgeshire,CB95 4BR,Prospect,205359330,1000,2023-02-16
ACC000157,Morgan Ward UK,157,Construction,Enterprise,16 Kings Road,Glasgow,Scotland,G14 2LZ,Customer,436625882,2500,2022-11-29
ACC000158,Walker Williams Solutions,158,Insurance,Enterprise,113 Market Street,Cambridge,Cambridgeshire,CB67 6WF,Partner,5743410,100,2024-08-23
ACC000159,Green Networks Partners,159,Telecommunications,Partner,174 The Green,Nottingham,Nottinghamshire,NG7 6XX,Prospect,9892896,25,2024-06-19
ACC000160,Harris Wilson UK,160,Healthcare,Public Sector,73 Park Lane,Belfast,Northern Ireland,BT93 3YW,Prospect,55771483,5000,2020-10-29
ACC000161,Davies Harrison and Co,161,Transport & Logistics,SMB,90 Park Lane,Glasgow,Scotland,G84 7ZY,Partner,28213283,25,2022-04-20
ACC000162,Academy of Birmingham,162,Education,Enterprise,144 Queens Road,Newcastle,Tyne and Wear,NE83 9LE,Prospect,8916043,50,2021-10-04
ACC000163,Martin Moore Associates,163,Financial Services,SMB,93 Park Lane,London,Greater London,EC24 8GL,Customer,9463140,25,2021-04-05
ACC000164,Thompson Thomas Group,164,Hospitality,Enterprise,76 Enterprise Road,Birmingham,West Midlands,B13 9TU,Customer,159505744,250,2023-03-20
ACC000165,Harris Thomas International,165,Healthcare,SMB,40 Mill Lane,Belfast,Northern Ireland,BT24 3ZW,Customer,190952495,2500,2023-09-05
ACC000166,Royal Hospital NHS Trust,166,NHS Trust,Public Sector,94 Business Park,Reading,Berkshire,RG93 5HR,Customer,4167770,5,2023-10-03
ACC000167,City Hospital NHS Trust,167,NHS Trust,Public Sector,62 Park Lane,Southampton,Hampshire,SO61 8GM,Customer,186930,100,2020-11-19
ACC000168,Green Jackson UK,168,Charity,SMB,108 Mill Lane,Brighton,East Sussex,BN26 5WE,Customer,355200214,5000,2021-04-20
ACC000169,Ward Patel UK,169,Healthcare,Enterprise,183 Enterprise Road,Leeds,West Yorkshire,LS67 2DK,Customer,475697906,250,2020-01-19
ACC000170,Edwards Cooper UK,170,Retail,Enterprise,112 Station Road,Glasgow,Scotland,G29 1RM,Customer,108514831,250,2021-11-08
ACC000171,Manchester County Council,171,Local Government,Public Sector,96 Church Road,Brighton,East Sussex,BN50 4CM,Customer,3044316,100,2024-10-19
ACC000172,Lewis Wilson LLP,172,Legal Services,Enterprise,38 Mill Lane,Nottingham,Nottinghamshire,NG5 3KS,Prospect,5529135,10,2020-01-14
ACC000173,Cooper Smith PLC,173,Real Estate,SMB,66 Church Road,London,Greater London,EC20 9UW,Customer,2083483,50,2021-09-20
ACC000174,Evans Green Solutions,174,Central Government,Public Sector,32 High Street,Newcastle,Tyne and Wear,NE31 8PX,Prospect,2670027,50,2024-03-11
ACC000175,Evans Morris International,175,Healthcare,Public Sector,5 Business Park,Southampton,Hampshire,SO66 3VH,Customer,287129237,2500,2022-12-17
ACC000176,Martin Smith International,176,Professional Services,Enterprise,62 The Green,Cardiff,Wales,CF54 2FY,Customer,149678118,5000,2020-08-26
ACC000177,Patel Taylor UK,177,Recruitment,SMB,130 Commerce Way,Southampton,Hampshire,SO65 7UA,Partner,228029369,2500,2023-02-28
ACC000178,Williams Jackson Associates,178,Real Estate,SMB,192 High Street,Sheffield,South Yorkshire,S46 4CM,Customer,29314777,2500,2021-12-06
ACC000179,Harrison Harris Group,179,Financial Services,Enterprise,91 Market Street,Manchester,Greater Manchester,M44 8XF,Customer,182208055,5000,2022-02-05
ACC000180,Walker Thomas PLC,180,Real Estate,SMB,10 Park Lane,Cambridge,Cambridgeshire,CB26 1BG,Partner,6694429,100,2020-09-17
ACC000181,Hall Moore Services,181,Construction,Enterprise,122 Park Lane,Southampton,Hampshire,SO5 5XG,Prospect,71649978,1000,2022-08-01
ACC000182,Brown Harris Partners,182,Transport & Logistics,Enterprise,95 Queens Road,Leeds,West Yorkshire,LS52 6RN,Customer,59168509,5000,2020-03-09
ACC000183,Morris Morris Associates,183,Hospitality,SMB,69 Commerce Way,Brighton,East Sussex,BN11 7PC,Customer,1046973,10,2022-10-28
ACC000184,Lee Green Associates,184,Hospitality,SMB,21 Victoria Road,Leeds,West Yorkshire,LS85 8KK,Partner,123671419,2500,2021-09-07
ACC000185,Roberts Cooper Associates,185,Central Government,Public Sector,11 Innovation Drive,Cambridge,Cambridgeshire,CB46 5WP,Prospect,8899030,25,2023-11-27
